Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C27, C59, C60, C61, C65, C66",0402,7,0.1u,
"C10, C100, C14, C6, C69, C7, C70, C76, C77, C83, C84",0402,11,4.7u,
"C101, C103, C46",0201,3,2u2,
"C102, C104",CAP-SMD_BD6.3-L6.6-W6.6-FD,2,100uF,
"C11, C15, C43, C75, C82",0603,5,47u,
"C12, C13, C4, C5, C71, C72, C73, C74, C78, C79, C80, C81, C85, C86, C87, C88, C9, C96, C98, C99",0402,20,0.47u,
C16,0402,1,100nF,
"C17, C20, C21, C22, C23, C24",0603,6,1uF,
"C18, C19, C2, C42, C57",0402,5,0.1uF,
C25,0603,1,1u,
C26,0603,1,10uF,
"C28, C29",0603,2,22uF,
C3,0603,1,3.3u,
C30,0402,1,220n,
"C31, C37, C47, C48, C49, C51, C52, C53, C54, C55, C92",0402,11,100n,
"C32, C62, C63, C64",0402,4,1u,
C33,0402,1,220p,
"C34, C35, C95",0805,3,22u,
C36,0603,1,100n,
"C38, C89, C90, C91",0402,4,22u,
C39,0603,1,22u,
"C40, C41, C44, C45",0402,4,12pF,
"C50, C56",0402,2,10n,
C58,0603,1,10u,
"C67, C68",CAPAE430X565N,2,EDK475M016A9BAA,
"C8, C97",0805,2,100uF,
C93,0805,1,10u,
C94,0805,1,0.1u,
"D3, D4",0603,2,LED,
"FB1, FB2",0603,2,120R,
IC2,TAD5242IRGER,1,TAD5242IRGER,
J1,4677,1,4677,
"J10, J11, J12, J13, J8",CONN-TH_2P-P5.00_CPC3703CTR,5,Screw_Terminal_01x02,
J14,CONN_AWHW 14G-SMD_ASM,1,AWHW 14G-SMD,
"J15, J16",61301611121,2,6130XX11121_61301611121,
J2,DM3D-SF,1,DM3D-SF,
"J3, J4",USB4105-GF-A-060,2,USB4105-GF-A-060,
"J5, J6",OST_USB-A1HSW6,2,USB-A1HSW6,
J7,CONN_L77HDE15SD1CH4F_AMP,1,L77HDE15SD1CH4F,
J9,SJ335083ATR,1,SJ3-35083A-TR,
L1,L_APV_ANR5020,1,4.7u,
L2,L_TechFuse_SL0624,1,10u,
L3,L_Sunlord_MWSA0402S,1,0.68u,
L4,L_Chilisin_BMRA00040415,1,2.2u,
Q1,IRF9358TRPBF,1,IRF9358TRPBF,
"R1, R18, R20, R23, R24, R25, R5, R6, R7, R8, R9",0402,11,10k,
"R10, R66, R67, R68, R69",0402,5,0,
"R100, R101, R42, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99",0402,32,200,
"R102, R82",0402,2,22,
R11,0201,1,4.7k,
"R12, R21",0402,2,12k,
"R13, R14, R15, R16, R59",0402,5,100k,
"R17, R19, R2, R3",0402,4,50,
R22,0603,1,10M,
"R26, R34, R37, R38, R40, R44, R47",0402,7,1k,
"R27, R56, R65",0402,3,150,
"R28, R50, R61",0402,3,1.1k,
"R29, R32",0603,2,200,
"R30, R4",0603,2,0,
"R31, R33",0603,2,100,
"R35, R49, R58",0402,3,560,
"R36, R48, R57",0402,3,270,
"R39, R43",0402,2,4.7k,
R41,0603,1,5k,
R45,0402,1,49.9k,
"R46, R55, R64",0402,3,5k,
R51,0603,1,1.5M,
R52,0603,1,66.5k,
R53,0603,1,48.7k,
R54,0402,1,3.3,
R60,0603,1,100k,
R62,0603,1,499k,
R63,0402,1,499,
"S1, S2, S3, S4, S6",PTS647SM38SMTR2LFS,5,PTS647SM38SMTR2_LFS,
SW1,219-8M,1,219-8MST,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_D1.0mm,8,TestPoint_Probe,
U1,256_W25Q128JV,1,W25Q128JVSIQ TR,
"U10, U9",TSOP-5_ONS,2,NCP380HSN05AAT1G,
U11,USB2513BM2,1,~,
U12,FT4232HPQ,1,FT4232HPQ-REEL,
"U13, U24, U25, U26, U27, U28, U29, U30, U31, U7, U8",SOT95P280X145-6N,11,USBLC6-2SC6,
"U14, U15",ESP32-WROOM-32UE_EXP,2,ESP32-WROOM-32UE-N8,
U16,MMSZ10T1G,1,MMSZ10T1G,
U17,CP2102_GMR_SIL,1,CP2102-GMR,
U18,TPS62132RGTR,1,TPS62132RGTR,
U19,FTGB196_XIL,1,XC7S50-1FTGB196C,
U2,CHIP_100.000MHZ-LC-T_ABR,1,ASEM1-100.000MHZ-LC-T,
U3,CYPD3177-24LQXQT_INF,1,CYPD3177-24LQXQT,
U4,TPS62054DGS,1,AP63205WU-7,
U5,MP8756,1,MP8756GD-P,
U6,AP63205WU-7,1,TPS62054DGS,
X1,CRYSTAL-SMD_4P-L2.0-W1.6-BL,1,24MHz,
X2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,12MHz,
